id,pca_features
643,"[-1.68147434196,0.959460488451,1.92944434206,0.532375476041,-1.26358087737,1.77106707597,-2.22308718795,2.64452223647,-2.41927980263,-1.49115893606,-1.47072707667,0.176949121624,0.0671831046163,-0.859975084417,-0.838091514394,0.824763232143,-1.09835671769,0.7462058445,1.66880589272,1.51461065217,-0.796852120286,-0.272301284833,-0.964747169492,-0.0198615656687,-0.833722078757,0.313544622005,-0.848762080513,-0.44324466318,-0.811821555289,-0.407411861365,0.251670397385,0.946516655643,0.239422167157,0.297913480238,-0.822176063631,-0.343424734011,0.256948538981,-0.252758748127,0.548463534984,0.259407584235,0.372098420134,-1.0739736351,-0.639066936877,0.324552998347,0.38357800296,0.553950127111,-0.123550439134,0.4866511936,0.180962240761,0.00488825106154]"
644,"[-1.52354818553,1.96700390801,1.27791035572,1.60727820468,-0.942101429091,1.61580587168,-1.34663303368,2.50334790864,-2.42387207374,1.99495336563,-1.67601866744,0.85510951111,0.365860177405,-0.427236120114,-0.442234659955,1.41355070409,-1.30526312705,0.986137163744,1.39216278607,1.66565854949,-0.66657003291,-0.46845534695,-1.21805482007,0.0424931850173,-0.866255673582,0.54686165277,-1.04987225039,-0.155811064998,-0.734213082514,-0.551498537981,0.113530902302,0.760062573021,0.249223965875,0.312751768804,-0.441361091947,-0.373822329823,0.292434748747,0.0513556291023,0.17653669031,0.364982322386,0.385421897038,-0.772315152383,-0.522046958666,0.148870489404,0.0272313838713,0.614078465324,-0.361943235296,1.04978024962,0.230305866782,0.0928201932255]"
645,"[-2.51952910036,0.296117216308,1.95144799087,1.317825452,0.482188028516,1.10479489562,-2.56246573417,1.07931593382,-0.999858972082,0.507218422685,0.555657425186,1.62550804426,1.02351990416,-0.830399119893,-2.31718771347,1.49565176923,-1.54763116484,-0.545295905661,-0.120858888429,0.803192941369,-0.829805668914,-0.835966728154,-0.634009176204,-0.163012370706,-0.42655750581,-0.407923070784,-0.579455499543,-0.492926317415,-0.290915603904,0.233420549869,0.735087370916,0.328679520141,0.151435134301,0.813419819106,-0.380747487492,0.65734995788,0.0360840524085,-0.321499696682,0.294532752883,-0.350007097867,-0.153058882248,0.00985244041954,-0.384827497494,0.646326769973,-0.13868622087,0.311575439205,0.121837875146,-0.464515430995,0.0283145348636,-0.0288443873984]"
646,"[-1.99960004008,1.03237114624,0.659658844842,1.73455913336,-0.683346972517,1.04121100537,-2.58688228635,2.53938804549,-2.34522779537,0.470713404066,-0.696505240631,0.498661618157,0.528806655609,-0.689531283391,-0.442993404291,0.492897992129,-0.704402531504,1.05021774786,1.7791092949,1.84924366535,-0.765782863734,-0.497233541151,-0.381222702853,-0.834706561296,-0.752902426125,1.04731920112,-0.900712125074,-0.214072742101,-0.639840574272,-0.226696128479,1.03236751042,0.354832108247,0.177127381451,0.564704172585,-0.422063924465,0.0594708802469,0.301242231015,-0.0943204876102,0.669887738157,-0.0805091479346,0.495372072335,-0.896958830412,-0.439337144227,0.198075574309,-0.553488878949,0.470690223866,-0.308649190601,1.05157862303,0.455322002331,-0.113379836623]"
647,"[-1.91269755223,0.599655091424,-0.00592554007388,1.23755479441,-0.358053486885,-1.14703073006,-1.48604464288,2.10500225271,-2.29952412041,0.335657289775,-0.162942623324,0.555533756412,2.02475827504,-0.459058336792,-2.99988250519,0.0618141422287,0.216503948473,0.362747895999,1.71969633562,0.442550085081,-0.526971387787,-0.908345372054,-0.864130010229,0.0608992853377,0.0940788988855,-0.258210114928,-0.173159931917,1.03825094753,0.488059028201,0.906181864976,0.0536591328886,0.0514013911736,-0.298417697719,0.0665936561125,0.732754559727,0.386147533309,-1.06184044397,-0.355710067693,0.0309212250104,0.303621794173,0.12052723785,-1.00386296276,0.137296277047,-0.506723240441,-0.0585017016521,0.464082460369,-0.145152993845,-0.525944214547,1.51914511335,0.2177338739]"
648,"[-1.15354520907,5.91639967245,2.19224300837,1.77203157558,-0.237467007889,-1.05050006693,-1.47870575038,2.38359026783,-1.43216562789,0.907504333878,0.239491535467,0.960128260079,0.891867419451,-0.839051581479,-2.2775669801,0.460640800386,-1.12914686504,0.209228893607,0.803446637678,0.331761207668,-0.504892565972,-0.192062159996,-0.157695292582,0.261956544167,-0.994188941101,0.83384803928,-0.351452070058,0.0203815535232,-0.697027360631,0.30025831179,0.720255070582,0.929908918619,0.619818634263,-0.394793498627,-0.623660665697,0.213776042479,-0.35220219965,0.208589320086,-0.166690295935,-0.352879062242,0.554066791438,-0.390239768738,-0.0907297766189,-0.282441868278,0.319046866013,0.146527448941,0.54928196011,0.0705299833192,-0.140732321342,-0.10717319292]"
649,"[-0.0955597881868,2.1346400059,0.544951525613,0.644914935183,-0.132958926052,1.33022937079,-1.49501756316,1.38147051051,-1.59974542707,2.53787187338,-1.80540080095,-0.553290620553,-0.237671863381,-2.2102179691,-2.48338836547,1.04688486615,-0.0554839593731,-0.0496846204889,2.34856721882,0.995339337013,0.527438938912,-0.439432763789,0.135963874448,-0.468697389898,-0.98071693161,0.55020394707,-0.328435203831,-0.99323779333,-0.0396243901834,0.65435345481,0.458598386611,0.560244578619,0.50976989377,-0.87300520131,-0.448469587862,-0.161245362901,-0.228177260129,-0.866647991436,-0.43489757708,-0.178324595942,1.00996328365,0.452945596931,-0.177133779678,-0.286775118627,0.0366339411732,0.386067060437,0.490751088817,0.0306370449,0.0247941942824,-0.760105913803]"
650,"[-2.96771162583,0.844184108238,2.89044184745,-0.78168871653,2.19997385677,-0.853253406758,-1.83676484295,1.91217860058,-2.27299307412,0.348714029314,0.494485970967,1.46953463551,1.83185934702,-1.0088712149,-1.66074225781,2.13851083861,-0.937798142906,0.61230037052,1.50581942164,1.23909677102,2.73627117548,-0.26604809115,-1.11526916075,-0.433709542566,0.560372064349,1.25302347316,-0.0224947965976,0.724520760536,0.43911651679,-0.00669996867454,0.175705189624,-0.0769475547596,-0.654412880381,-0.271734027275,-0.394266465812,-0.0254699333343,0.0935635390861,0.552261132957,-0.262017865141,0.0635933289531,-0.266513475795,-0.440623978707,-0.935270882156,-0.506377998865,-1.23201987965,0.128092284225,0.124720117896,0.357231854272,0.193758733724,0.467875569529]"
651,"[-2.85487137849,0.708336916633,3.07945059377,-0.537713689424,2.07302355102,-0.976454573356,-1.98660935268,2.0658652017,-2.40264682206,0.460760869512,0.360064845272,1.21625331249,1.72688117475,-0.916639692411,-1.56169211672,2.06767009015,-1.00220237958,0.627948035952,1.43972717367,1.09908544593,2.52511888494,-0.282887101264,-0.999389314892,-0.499101991672,0.312084173176,1.3820352041,0.0164050211218,0.490137202614,0.402796400943,-0.105577910772,0.155528827916,0.116220285802,-0.658181862861,-0.480137698588,-0.450619321159,-0.0312309788454,0.177257993221,0.552115516945,-0.382833788089,0.168221320672,-0.52630130452,-0.47076875404,-1.02139122517,-0.752753705977,-1.18095991936,0.254952176112,0.392417694722,0.401946701439,0.107316351826,0.171805519557]"
652,"[-3.34669351892,0.754998508626,3.46153888531,-0.236895156314,2.16364540805,-0.719461470683,-2.49165857741,2.51905728865,-2.38818045642,0.619493493206,-0.078512434204,1.72125605344,1.66117412418,-0.635547219411,-2.08961544762,1.49059300764,-0.712573419409,0.429149806519,1.04467778162,1.23634920457,2.18886717972,-0.0975319907997,-1.22204038014,-0.543569926377,0.0391955579227,1.48305266434,-0.156225554042,0.57298237881,0.414030374468,0.116494667717,0.225349054112,-0.236633807395,-0.744244019902,-0.388967479666,-0.536024961408,-0.0281985167859,0.276727321183,0.552290926238,-0.451203756156,0.278995461468,-0.637245213289,-0.553901429256,-1.07223557028,-0.708947540282,-0.890698961959,0.0439956540407,0.369268182981,0.257929163069,-0.0324620507399,0.220245723771]"
653,"[-0.371728507877,2.22369152495,1.13480541321,-0.168959078613,-0.679681024219,0.0401743766369,-0.427171177804,1.00353913266,-2.29177528094,-2.32970223926,-0.681555744342,-0.878644213828,0.448695922678,-1.07721031147,-2.11644919269,1.90453448312,-1.13134387334,-0.165154281785,1.15419135775,1.03206962566,-0.520931740278,-1.19614682704,-0.0496700767587,-0.585558452571,-0.776351387547,0.018394029561,0.0815465235593,-0.792804705524,-0.451545161141,1.06481720561,0.0853998312718,0.320606318894,-0.0435619635163,0.347763144358,-0.484606789617,0.451636660093,0.871318013622,0.435148872923,0.756559191518,-0.226692812415,0.100055409262,-0.278607987592,-0.235538880823,-0.639486470126,-0.0977279510968,-0.382175338823,-0.363202488355,-1.02832907104,0.200128585507,-0.337482818965]"
654,"[-0.65048927647,3.29877532521,1.55382293172,0.281142462661,-0.654284943531,-0.146279135079,-0.687344732361,1.02596352689,-1.98004144246,-2.36294587111,-1.03793006004,-0.858511243485,0.357388131183,-1.28373942263,-1.75187903466,2.1664208571,-1.48806261283,-0.0227241850344,0.943192723915,0.706313970986,-0.00546025141097,-1.0094460367,0.290459204073,-0.363663579165,-1.08343688651,0.162772428997,0.236474855939,-0.725343971482,-0.660671764766,1.28548812581,0.528022691183,0.184669031192,-0.333215982959,0.0580267426915,-0.324536823193,0.363153331706,0.80999028007,0.761018186799,0.343921537051,-0.23122082898,-0.182262042194,-0.0112003436038,-0.133004074456,-0.6672037549,-0.253659790823,-0.389362222365,-0.592131724508,-0.752982001185,0.167628311625,0.0872532872865]"
655,"[-0.438360432291,4.32749561205,1.63376017618,0.715742780768,-0.662138788205,0.0687862336532,-1.31959147694,1.29564013815,-2.14158880114,-2.34447109686,-1.31844856301,-0.93804483635,0.544418634016,-0.977669043669,-2.29765062308,1.69408861642,-1.48404535046,-0.437746516064,0.618268763779,0.769436579131,-0.254017291969,-0.803267054291,0.407946921553,-0.477834664802,-1.46223484117,-0.0549100600766,0.13167956439,-0.733363836491,-0.373972215252,1.53744583003,0.663593140572,0.0309147764021,-0.370644247275,0.138191068872,-0.428241853306,0.289086346051,0.682522442849,0.837452045124,0.0546633338704,-0.176257923002,-0.281078100858,0.214836868348,0.0820491953192,-0.433683023322,-0.169833480384,-0.384538664174,-0.551667094528,-0.492220928282,0.172098393632,0.226729061651]"
656,"[-2.19142877632,0.262813051524,-0.800062464714,1.39209102066,-0.532836408378,-2.02153067319,-1.64052765856,1.05971467335,-1.80370783154,-0.0104672553455,0.532987043462,0.432358225914,0.522730960129,-0.927232138333,-2.07885868371,2.37242121258,-1.36759601487,-0.0624678160986,0.705827303245,1.54291917684,0.376230038476,-0.784863158631,-0.488311433754,0.242466683798,-0.67104993326,0.278837696494,0.152344006653,-0.0475243984898,-0.573071281764,0.74368810698,0.0492185227902,1.39078928861,0.519982050011,0.389075593962,0.207065660385,-0.135512554385,0.254237281841,-1.0261446652,0.978686018814,0.534383847169,0.735787799345,1.37273982779,1.26789302922,0.194526215987,-0.924041029636,0.949099639259,0.750682796722,-0.352209707255,0.459265828118,-0.275191075157]"
657,"[-2.39177655981,0.540018643351,-0.441041997472,1.50794947872,-0.550395683403,-2.33412608854,-1.89259598689,0.902890127233,-1.52130746352,0.0255611270244,0.37331942584,0.696333158157,0.34492595182,-0.856613891624,-1.97159444021,2.42885917976,-1.20988320648,-0.0848384663958,0.805128763226,1.46602373865,0.284658620912,-0.484738597104,-0.404116293209,0.233650276981,-0.794301633077,0.4338639531,0.0481534935384,-0.169246329907,-0.721073026466,0.71117734478,0.162889650747,1.41798970695,0.442615239597,0.328733136917,0.266736442045,-0.267209958239,0.388502205481,-0.929229105865,1.00711555155,0.403184908276,1.01112227392,1.45778211877,1.39507611454,0.185113080608,-0.712635603657,1.0306857973,0.759185931408,-0.395674613237,0.428316847245,-0.133653289987]"
658,"[-2.45677882369,0.596645069274,-0.288864182054,1.632066612,-0.723882467052,-2.30728474808,-2.37545497325,0.932154079565,-1.81085546966,0.203347830536,0.0579846912597,0.81131727349,0.231565239015,-0.730537681883,-2.46808300125,2.09178443791,-0.775262208957,-0.492870415639,0.630437898645,1.68394700873,-0.0466258401118,-0.286552191833,-0.622946591972,0.230010921268,-1.05090313963,0.182096669484,-0.00649239877636,-0.327765342281,-0.68169677126,0.793465757776,0.356256579939,1.2583238843,0.388218066593,0.53032357686,0.323656123481,-0.336259254511,0.596307166102,-0.90306271775,1.08644077093,0.419500946076,1.01767709993,1.60731062841,1.47833057134,0.431937426411,-0.812688429642,1.13006409988,0.62458015204,-0.152783018174,0.443755166499,-0.0122985040031]"
659,"[-2.90381254995,0.270016827613,1.46285273491,0.352074123577,0.0622911014551,-0.164522888893,-0.711525259609,1.0198536383,-1.63728851151,0.613611524378,1.11063882161,1.22511467956,1.27475788936,-1.30934050375,-2.27063759234,2.11694043471,-1.79345872181,-0.561197465939,0.346898332859,0.632377019062,1.03967544569,-0.794839759011,-0.414911037677,0.16647343679,-0.32717732804,0.164472523707,0.429920256799,-0.700938414236,0.3907890646,-0.107455075699,0.336427986724,-0.145612766062,-0.88504798169,1.2383329568,0.270409736325,-0.525724064827,-0.324766501472,0.269452532919,0.120675521806,-0.532670484463,1.01722847948,-0.0457663250752,-0.435803904188,-0.0330975835708,-1.04464845228,0.461692153929,0.241434330087,-0.0834797352049,0.604770718736,-0.104513357391]"
660,"[-3.63859557208,0.628191044533,2.36495882701,0.689265366182,-0.00352256039748,-0.692783415315,-1.47911990018,1.20725472422,-1.59817846612,0.923447405155,0.512430234482,1.87819343703,1.29572092254,-1.28313394995,-2.422307661,2.10283926672,-1.72553114198,-1.39213890335,-0.406900942732,0.293429941209,0.307537295253,-0.785211177295,0.130040275647,0.552055719531,-0.989761834589,0.12387633418,0.476165088166,-0.590270504387,-0.168714773996,0.145934977475,0.87032807336,0.179522223329,-1.26920210583,0.503107868146,0.314045076316,-0.194043156524,-0.348978761877,0.588191542663,-0.331341289038,-1.43627981314,0.641540938151,-0.714610880144,-0.108469445166,0.325808883047,-0.882453483165,0.513062009703,0.457758774523,0.133022933999,0.726495907429,-0.0316846263045]"
661,"[-0.137782271957,0.227197086523,0.625459973713,-1.13535194112,-2.1950170493,-0.123037424557,-1.3290403489,1.48903084812,-0.798891292475,-0.225800900163,0.322621141483,0.782505152374,0.583859738581,-1.02842441948,-1.81846874731,2.43593799614,-0.872647211835,0.163760998965,0.839616926743,1.11081316494,0.269162277813,-0.760611148644,-0.0211103965032,-0.189143495728,-0.623817572615,0.0170257987287,0.539243917368,-0.0409347726466,-0.939289090912,1.54989164425,0.168315024845,0.228331955435,-0.583183456377,0.126006465341,0.0763317314439,-0.309162948408,-0.398967900424,-0.68575018461,-0.156106223907,0.138130535246,-0.104001891788,-0.297396255407,-0.47278222502,-0.0176577793049,0.103772524738,-0.218621896172,0.622869903957,-0.101501103388,0.396077980583,-0.357914941946]"
662,"[-0.391461662613,0.325486900634,0.8913981657,-1.22573385114,-2.3403980421,0.306834598472,-1.17321241192,1.38978340065,-1.03158285208,-1.4694985366,-0.555564410907,0.323433678138,0.18797181322,-1.19256420948,-2.14894104585,2.69010185866,-0.904147217896,0.165592690058,1.1137564534,1.00446067462,0.0682225288299,-0.853041347314,0.0533739805893,-0.0851101172507,-0.366360429208,-0.00740453211623,0.763557432413,-0.13433227669,-0.919063228946,1.46880319509,-0.15353602644,0.39200194418,-0.523029446182,0.0932083882265,-0.0542845422001,-0.163313713568,-0.181575642338,-0.807279959956,-0.136536174751,-0.024461216639,-0.191683054005,-0.292782583089,-0.390376343102,0.242177410363,0.094474295133,-0.209377333923,0.607599926834,-0.198075294033,0.235890606015,-0.426793842823]"
663,"[-0.549509848538,0.377688653751,1.19742437163,-1.24081017064,-2.36750948839,0.386460610941,-1.56782671838,1.91082019009,-1.26011083257,-1.45167914789,-1.05173683277,0.373247220744,0.0179986351815,-1.27282376939,-2.6964593682,2.28394618558,-0.607831856592,-0.145345520942,0.895653450349,1.08862073586,-0.0928849468331,-0.600670267706,0.0051603534545,-0.104760451014,-0.752187866369,0.150385813569,0.50010250194,-0.198340136557,-0.750431651754,1.50364860854,-0.0674028838342,0.284001483833,-0.60294432025,0.0105356221708,-0.167228411391,-0.343244253754,-0.195320516359,-0.8615621681,-0.209942811136,0.0779191143335,-0.423688657424,-0.232414768225,-0.489628601566,0.216398544238,0.0798273778479,-0.346363481796,0.744874619252,-0.0870538001031,0.0732099827183,-0.559394984391]"
664,"[0.293035432577,-0.220215870995,0.153338088663,-0.0832318787059,0.152521117558,0.0121686826788,-0.0263792676105,0.0416523430059,0.130844909672,0.235409987461,-0.1843760845,-0.197004350978,-0.131888733137,-0.302376588749,-0.196242815023,-0.59111788852,-0.364040153637,-0.476671372341,0.152139018205,0.0760749863084,0.407241352802,-0.417571460231,-0.0654228629724,-0.142943666099,0.12428195544,0.224558491438,0.401715159693,0.106906711057,-0.296399463277,0.0498824745743,-0.464219099615,0.168416152353,0.0355454761688,-0.261670441266,0.069329746826,-0.0650945170543,0.357290172357,-0.0925676477466,0.0449077434527,-0.257076673973,0.0356145690483,0.0640423871048,-0.00683480922496,0.0563071779096,-0.0120595867195,-0.119764678723,0.113645685485,0.211637634681,0.279550503588,-0.144627142059]"
665,"[0.189829880852,-0.181539166841,0.178466839758,0.213706577373,0.0880220574004,0.131610470639,-0.08590934258,-0.0839798690088,0.219863528742,0.295352626776,-0.138894077028,-0.278792943755,-0.124985256183,-0.294044431789,-0.191199329286,-0.231133260824,-0.0136344049936,-0.300473153334,0.326918929272,0.0516954725599,0.147832599973,-0.289124976281,-0.0309496175269,-0.0954476645953,0.273676025187,0.0431389082072,0.127579058339,-0.114124198922,-0.261325377726,-0.100297030569,0.037477865791,-0.0251743128222,0.162849114607,-0.13010313806,-0.196880538008,-0.0204849937036,0.207338736367,0.0342422003688,-0.304624965221,-0.0641031936499,0.0902495972458,0.143904956886,0.0545540424457,-0.151593363879,0.0577731843179,0.0358186960894,-0.0501835184202,0.202938103414,0.242521193807,-0.174326190057]"
666,"[0.932090696595,1.60199002476,0.439599153006,-0.722376958166,-0.470974031503,0.164729466838,-2.4070155355,1.82754301069,-0.840310959972,0.773046016314,-0.836115916171,0.705052905334,-0.0238621503208,-1.04627970368,-2.20061313748,0.281527725466,-1.90344848907,-1.27790907354,1.81617236116,1.20078667867,-0.322787591219,-2.00699839461,-0.201254031265,-0.990514584058,-0.631194926963,0.583776170996,-0.46759980155,0.0469800455127,-0.371426425072,0.93092971419,-0.329833470224,-0.25186849165,0.539124445614,0.0425512165939,0.666911265847,0.241603926994,0.0141442677056,-0.192081318725,0.675794690459,0.114526826551,0.110515376823,-0.368826688145,0.198526915723,-0.612490305851,-0.470813760235,0.187202929988,0.507752192984,0.1964467743,0.0339403399783,0.183468479542]"
667,"[-2.03551230105,0.777617953865,1.67823135263,-0.367471405145,-1.5295471334,0.167875011914,0.505929081794,0.508789536305,-3.25924314323,-2.06048901169,-0.0721107142668,1.01111086225,1.02144351396,-0.492224588227,-2.52815646537,0.928532692018,-0.888696207126,-0.327378725336,1.81561068399,1.26907525276,0.583326364647,-1.4431294918,-0.31624730818,-0.0195950050657,-0.247157459145,0.219441616523,0.567090603576,-0.614241799811,-0.297647494045,0.125502611175,-0.205931037512,0.0457137071742,0.0675666357598,-0.625554988694,0.0176359293115,0.0259184071006,-0.167222228613,-0.00655207805687,-0.0819765793488,-0.279660610755,0.260554644811,0.193205695126,0.199549463217,-0.904429518553,-0.0137204265498,0.796418650687,0.0545810413159,-0.207585821781,0.809600604626,-0.0118826342916]"
668,"[-2.09554678705,0.821569297336,1.70633490491,-0.20941039411,-1.55286722219,0.245658571281,0.168931002482,0.825387270944,-3.4069631757,-1.79838039985,-0.490911505429,1.33273941141,0.98037749793,-0.35223943373,-3.00935690332,0.515901487265,-0.579184107635,-0.740693707027,1.5390683554,1.28409145682,0.195260678382,-1.22220956863,-0.490869197765,0.0322585174938,-0.490028906747,0.213803400909,0.54325535899,-0.599609978606,-0.159004775598,0.340402424071,0.0592514553141,-0.123688637986,0.0717627699662,-0.424268144447,0.0426455149572,-0.201891164266,-0.288605948786,-0.125631548155,-0.111181345024,-0.163094878416,0.126455809925,0.239871457481,0.369406526155,-0.664706045347,-0.205507299389,0.768580779147,0.204731076504,0.0698878848709,0.778304479457,0.00413579545466]"
669,"[0.610945047847,1.74148642345,0.497952262187,-0.905505510223,1.65951856801,-0.640709429615,-0.724935265207,1.9827858182,-2.24936958674,-0.466177312085,0.991294012886,1.03814536471,0.476911134904,-0.853759713239,-1.418979242,1.41694466986,-1.10594650748,0.278377162986,1.94175518336,0.942710820903,-1.32804495021,-1.52445602809,-1.02161145835,-1.59606109174,-0.252507268081,0.448071310785,0.473786942459,0.0518177374383,0.053137559236,0.126684459425,0.138641705103,-0.415390433472,-0.822601312642,-0.439565048158,-0.583720222399,-0.136667504776,0.0305996238431,0.51925761721,0.402733651734,-0.197671177156,0.33132301439,-0.156205696795,0.838178729106,-0.424875417591,-0.00716287989544,-0.273912725793,0.140941968511,-0.184131949767,-0.710139041421,-0.802902341437]"
670,"[0.708324859495,1.68043768288,0.608462986568,-0.70449607707,1.6696426495,-0.6020744913,-0.724625581349,2.04828719205,-2.1967799701,-0.478219167624,0.854818051378,1.05308217785,0.55444783198,-0.914205741069,-1.39312373825,1.37762674865,-0.964149121932,0.293144033899,1.8901395679,0.974979179036,-1.20756381295,-1.49261279007,-1.02412844396,-1.5057488521,-0.309141855457,0.395441367671,0.333482653054,0.0619626811547,0.151774596767,0.146298100552,0.189225106825,-0.33372526485,-0.803213061574,-0.496822881987,-0.598074753937,-0.0738100777372,-0.0324142372888,0.55611648563,0.536541067791,-0.191693048182,0.338481701402,-0.243361853606,0.841811211318,-0.359443947087,-0.0539218304374,-0.258981348071,0.159514419523,-0.251184678096,-0.703461241262,-0.855001328825]"
671,"[0.663923812369,1.96916882232,0.651755217784,-0.446026581295,1.56533019996,-0.417274103269,-1.0667762418,2.37821813247,-2.23207685772,-0.295638096359,0.329662667878,1.11173071661,0.503781962422,-0.747043892759,-1.82735868928,1.03670768469,-0.766943130676,-0.0956142291677,1.76560545713,1.16056405586,-1.95026372145,-1.27753733695,-0.82287013977,-1.34547973814,-0.479355678063,0.249914230158,-0.0847535183429,0.000819987267482,0.230014719541,0.0128536049817,0.60347000195,-0.628291016624,-0.719874494427,-0.301079250211,-0.56392948176,-0.0448260285201,-0.119146687561,0.587059788828,0.41186601544,0.0132309226883,0.302501267395,-0.205061570175,1.02165468706,-0.44260011542,0.040945940102,-0.163232246332,0.0654728098108,-0.025357701862,-0.79890023345,-0.903290263315]"
672,"[-1.52891168746,0.419292248533,1.05810257552,-0.952293105167,1.48399806628,-0.252852242322,-0.668237515808,1.52800439124,-2.85082546952,-0.0188256070643,0.702121169105,1.67233974576,1.08510950899,-0.32120520521,-1.88213268706,1.24710433353,-0.690350465073,0.0674895130588,1.04302009269,1.02157217821,1.97078861281,-1.41514165528,-1.10259363519,-0.417742805247,-0.774547314015,0.464190342014,-0.069468473388,-0.843291124918,-0.24428781259,0.384682224533,-0.208257933012,-0.217397665255,-0.120366311266,0.601537212203,-0.448353927992,0.617476986971,-0.217761325646,0.0549139805583,0.277936904073,0.126598407479,0.271884328754,0.223875406955,-0.357321360413,-0.470038774678,-0.270636410126,0.484526240476,-0.608866059253,-0.234723422436,0.0111843182958,-0.534400700575]"
673,"[-1.70310823519,0.270008406118,1.32306698405,-0.68865861873,1.24162752792,-0.145873549021,-1.32410015406,2.0384695894,-2.99836965016,0.21454078962,0.176933243956,1.90662332917,1.25405933595,0.0025082726633,-2.32293010299,0.733867772601,-0.472102175222,-0.307011434225,0.666002980104,0.928506006348,1.41816355914,-1.59535409298,-1.20869574061,-0.306838990515,-1.23702012932,0.433491775304,-0.125673299055,-0.884799546432,-0.147766762459,0.719622841854,-0.202407397876,-0.194627919697,-0.488803669626,0.168257570389,-0.290251949422,0.610317103084,-0.500079779613,-0.248063568534,0.197942425121,-0.0145578093638,0.212861703281,0.463153901848,-0.408569307588,-0.11567538136,-0.435259631048,0.339832171002,-0.315210608251,-0.137483819631,-0.0545993986199,-0.610006686215]"
674,"[-3.72072736132,1.17788155579,3.12831449437,0.938144829958,-0.436517514698,-2.12771324935,-1.48160033879,1.2218744697,-1.76875588509,0.423486633031,0.85027635026,1.37363496813,1.35662835177,-0.522077319743,-1.60235026996,1.06432602875,-1.01224509454,0.604152143188,1.88500498979,1.00971102442,0.573291797434,-0.144350374503,-0.9174064025,0.142118319865,-0.516046666558,1.4003687376,0.0586092229985,0.605251914591,-0.816246479099,-0.00283640683771,0.335451757824,0.391156349295,-1.13354287356,-0.77298814916,0.216934015457,1.11648050605,0.353785525934,0.490234521979,-0.363749647604,-1.3546182939,0.184843835394,-0.202820577167,0.0319765094001,-0.738774318112,0.284466827481,0.606172936759,0.134612583117,-0.282528098217,0.00603831947763,0.420355697853]"
675,"[-4.15726432682,1.27269557524,3.79872257363,1.25255193598,-0.777604041021,-2.1361642482,-2.55840142862,1.01515287211,-2.21430550722,0.801201673741,0.156671816277,1.77282328588,1.30718677906,-0.473105178731,-2.10989620792,0.388359455172,-0.723490119138,0.188282031809,1.77082636912,1.47377090563,-0.227475664834,0.218698758529,-1.12052060866,0.483623756736,-0.864831993621,1.64020605469,0.153973596031,0.575983183348,-0.487830856863,-0.051362771136,-0.11813763328,0.298817361212,-1.13683765449,-0.404278982615,-0.229046116775,0.87061013265,0.409363484972,0.272638426121,-0.158587048126,-1.2915917706,0.24050229569,-0.565553529178,0.0321552366179,-1.23313153483,0.338453325992,0.375682418018,0.0363639765319,-0.44970898873,0.182368761691,0.482666001167]"
676,"[-1.4233807834,1.65273776049,0.378544757699,-0.326830616411,-0.964406129657,-0.389398199265,0.673697174108,1.47698312433,-3.3028681997,0.41580272022,1.35263172151,1.35406931071,1.3452462236,-0.417801796477,-2.0919660546,0.582863555239,-1.12661028457,-0.722421117766,1.10660944825,1.23662200971,0.215661816336,-0.934591510324,-1.04750628377,0.0750890041599,-0.816824461665,0.930138741024,0.126094434883,-0.185721621011,-0.421444812317,0.399003401708,0.518787895419,0.401207341608,0.368477609254,-0.370835724786,-0.109220843995,0.297310843335,0.194618208111,0.0547896887151,-0.76475980228,-0.196758905859,-0.300219908518,0.230077658339,-0.102103191196,-0.497527941807,-0.105891748564,0.715068504559,-0.236396899878,0.328375791965,-0.245311754214,-0.215985954713]"
677,"[0.39331322032,4.2210406711,0.741503732251,1.18835249914,-0.222263858328,-0.0127361382348,-1.1332015592,0.819216320533,-2.40114683614,0.389296828344,0.237852120317,-0.36842536153,1.80709977937,-0.434111389408,-1.05976834991,1.57890100961,-1.68877995977,0.287483872593,1.47433232331,0.699446531543,-0.373394901545,-0.772853108126,0.00661730498936,-1.0496779866,-0.628250772804,0.0757255016807,-0.293486872113,-0.524437578137,-0.148015263029,1.09458971135,0.200434709262,-0.746518226147,0.0269958317722,-0.331914454257,-0.140646552511,0.109619946379,0.518576777176,0.522647099942,0.279080830224,-0.0989249337126,0.79648392478,0.275840417937,-0.514490324607,-0.614479526981,0.11576895743,0.127118631374,0.508001987418,0.302159854485,0.59605449474,0.490468818066]"
678,"[0.157323704721,4.67173788573,1.07858025788,1.34616183812,-0.384854790269,-0.17671840781,-1.53149165451,0.994599804044,-2.67516422399,0.535213359028,0.0261078004712,-0.189450269077,1.63056821532,-0.370741589793,-1.53390680074,1.06189291445,-1.55231243179,-0.147116212267,1.07672995042,0.882630040684,-0.605386361371,-0.704845504445,-0.196953968294,-1.17773001275,-0.825661782322,-0.162519457092,-0.484117245841,-0.219567385494,0.0531277868421,0.896445882749,0.581036408496,-0.511960314543,-0.276553949281,0.0924448309694,-0.206515010167,-0.144911393417,0.507614849748,0.673002010469,0.271413827341,0.0229340910101,0.749831112156,0.472614307092,-0.306363948871,-0.522538542389,0.106914906639,0.375803240219,0.369041263853,0.687978332549,0.160725810551,0.388598133064]"
